date,last_update,confirmed,confirmed_diff,deaths,deaths_diff,recovered,recovered_diff,active,active_diff,fatality_rate,state
2022-01-01,2022-01-02 04:20:52,54859966,115984,825816,280,0,0,54034150,115704,0.0151,
2022-01-02,2022-01-03 02:22:25,55114057,254091,826060,244,0,0,54287997,253847,0.015,
2022-01-03,2022-01-04 04:22:17,56190946,1076889,827753,1693,0,0,55363193,1075196,0.0147,
2022-01-04,2022-01-05 04:21:59,57048800,857854,830071,2318,0,0,56218729,855536,0.0146,
2022-01-05,2022-01-06 04:22:09,57702377,653577,832118,2047,0,0,56870259,651530,0.0144,
2022-01-06,2022-01-07 04:22:09,58487665,785288,833987,1869,0,0,57653678,783419,0.0143,
2022-01-07,2022-01-08 04:21:53,59388529,900864,836603,2616,0,0,58551926,898248,0.0141,
2022-01-08,2022-01-09 04:21:46,59767221,378692,837262,659,0,0,58929959,378033,0.014,
2022-01-09,2022-01-10 04:22:07,60072321,305100,837594,332,0,0,59234727,304768,0.0139,
2022-01-10,2022-01-11 04:22:01,61558085,1485764,839500,1906,0,0,60718585,1483858,0.0136,
2022-01-11,2022-01-12 04:21:44,62308132,750047,842141,2641,0,0,61465991,747406,0.0135,
2022-01-12,2022-01-13 08:00:09,63203443,895311,844562,2421,0,0,62358881,892890,0.0134,
2022-01-13,2022-01-14 04:21:54,64061989,858546,846463,1901,0,0,63215526,856645,0.0132,
2022-01-14,2022-01-15 04:21:07,64917692,855703,849238,2775,0,0,64068454,852928,0.0131,
2022-01-15,2022-01-16 04:21:12,65444262,526570,850060,822,0,0,64594202,525748,0.013,
2022-01-16,2022-01-17 04:21:08,65699947,255685,850605,545,0,0,64849342,255140,0.0129,
2022-01-17,2022-01-18 04:21:04,66421598,721651,851730,1125,0,0,65569868,720526,0.0128,
2022-01-18,2022-01-19 04:21:23,67589830,1168232,853955,2225,0,0,66735875,1166007,0.0126,
2022-01-19,2022-01-20 04:21:07,68569600,979770,857768,3813,0,0,67711832,975957,0.0125,
2022-01-20,2022-01-21 04:21:09,69308071,738471,860247,2479,0,0,68447824,735992,0.0124,
2022-01-21,2022-01-22 04:21:13,70209737,901666,864553,4306,0,0,69345184,897360,0.0123,
2022-01-22,2022-01-23 04:21:13,70494744,285007,865968,1415,0,0,69628776,283592,0.0123,
2022-01-23,2022-01-24 04:21:12,70699416,204672,866540,572,0,0,69832876,204100,0.0123,
2022-01-24,2022-01-25 04:21:05,71708189,1008773,868503,1963,0,0,70839686,1006810,0.0121,
2022-01-25,2022-01-26 04:21:07,72171208,463019,871937,3434,0,0,71299271,459585,0.0121,
2022-01-26,2022-01-27 04:21:19,72909527,738319,876060,4123,0,0,72033467,734196,0.012,
2022-01-27,2022-01-28 04:21:09,73427335,517808,878421,2361,0,0,72548914,515447,0.012,
2022-01-28,2022-01-29 04:21:10,74066546,639211,882294,3873,0,0,73184252,635338,0.0119,
2022-01-29,2022-01-30 04:21:26,74235709,169163,883934,1640,0,0,73351775,167523,0.0119,
2022-01-30,2022-01-31 04:21:09,74332396,96687,884260,326,0,0,73448136,96361,0.0119,
2022-01-31,2022-02-01 04:21:11,74941202,608806,886682,2422,0,0,74054520,606384,0.0118,
2022-02-01,2022-02-02 04:21:09,75350359,409157,890770,4088,0,0,74459589,405069,0.0118,
2022-02-02,2022-02-03 04:21:21,75680487,330128,894316,3546,0,0,74786171,326582,0.0118,
2022-02-03,2022-02-04 04:21:10,75961961,281474,896557,2241,0,0,75065404,279233,0.0118,
2022-02-04,2022-02-05 04:21:05,76354040,392079,901388,4831,0,0,75452652,387248,0.0118,
2022-02-05,2022-02-06 04:21:00,76458144,104104,902266,878,0,0,75555878,103226,0.0118,
2022-02-06,2022-02-07 04:21:05,76505442,47298,902624,358,0,0,75602818,46940,0.0118,
2022-02-07,2022-02-08 04:21:15,76852768,347326,905539,2915,0,0,75947229,344411,0.0118,
2022-02-08,2022-02-09 04:21:04,77051506,198738,908820,3281,0,0,76142686,195457,0.0118,
2022-02-09,2022-02-10 04:21:14,77265134,213628,912252,3432,0,0,76352882,210196,0.0118,
2022-02-10,2022-02-11 04:21:09,77428574,163440,915430,3178,0,0,76513144,160262,0.0118,
2022-02-11,2022-02-12 04:21:06,77652197,223623,918451,3021,0,0,76733746,220602,0.0118,
2022-02-12,2022-02-13 04:21:00,77707349,55152,919253,802,0,0,76788096,54350,0.0118,
2022-02-13,2022-02-14 04:20:51,77739880,32531,919696,443,0,0,76820184,32088,0.0118,
2022-02-14,2022-02-15 04:21:09,77919052,179172,922473,2777,0,0,76996579,176395,0.0118,
2022-02-15,2022-02-16 04:21:10,78036352,117300,925435,2962,0,0,77110917,114338,0.0119,
2022-02-16,2022-02-17 04:20:56,78171038,134686,928493,3058,0,0,77242545,131628,0.0119,
2022-02-17,2022-02-18 04:21:04,78269443,98405,931741,3248,0,0,77337702,95157,0.0119,
2022-02-18,2022-02-19 04:21:11,78423462,154019,934321,2580,0,0,77489141,151439,0.0119,
2022-02-19,2022-02-20 04:21:00,78457081,33619,934951,630,0,0,77522130,32989,0.0119,
2022-02-20,2022-02-21 04:21:05,78479134,22053,935335,384,0,0,77543799,21669,0.0119,
2022-02-21,2022-02-22 04:21:01,78529099,49965,935990,655,0,0,77593109,49310,0.0119,
2022-02-22,2022-02-23 04:21:09,78648651,119552,939061,3071,0,0,77709590,116481,0.0119,
2022-02-23,2022-02-24 04:21:14,78733444,84793,941889,2828,0,0,77791555,81965,0.012,
2022-02-24,2022-02-25 04:21:11,78798989,65545,944828,2939,0,0,77854161,62606,0.012,
2022-02-25,2022-02-26 04:21:12,78883101,84112,947417,2589,0,0,77935684,81523,0.012,
2022-02-26,2022-02-27 04:21:04,78931739,48638,948215,798,0,0,77983524,47840,0.012,
2022-02-27,2022-02-28 04:21:05,78939203,7464,948397,182,0,0,77990806,7282,0.012,
2022-02-28,2022-03-01 04:21:09,79045043,105840,950490,2093,0,0,78094553,103747,0.012,
2022-03-01,2022-03-02 04:21:07,79091347,46304,952423,1933,0,0,78138924,44371,0.012,
2022-03-02,2022-03-03 04:21:01,79143716,52369,954518,2095,0,0,78189198,50274,0.0121,
2022-03-03,2022-03-04 04:21:09,79196008,52292,956261,1743,0,0,78239747,50549,0.0121,
2022-03-04,2022-03-05 04:21:10,79250509,54501,958143,1882,0,0,78292366,52619,0.0121,
2022-03-05,2022-03-06 04:20:49,79265726,15217,958437,294,0,0,78307289,14923,0.0121,
2022-03-06,2022-03-07 04:20:47,79284134,18408,958840,403,0,0,78325294,18005,0.0121,
