date,last_update,confirmed,confirmed_diff,deaths,deaths_diff,recovered,recovered_diff,active,active_diff,fatality_rate
,,,,,,,,,,
1/1/2022,1/2/2022 4:20,54859966,115984,825816,280,0,0,54034150,115704,0.0151
,,,,,,,,,,
1/2/2022,1/3/2022 2:22,55114057,254091,826060,244,0,0,54287997,253847,0.015
,,,,,,,,,,
1/3/2022,1/4/2022 4:22,56190946,1076889,827753,1693,0,0,55363193,1075196,0.0147
,,,,,,,,,,
1/4/2022,1/5/2022 4:21,57048800,857854,830071,2318,0,0,56218729,855536,0.0146
,,,,,,,,,,
1/5/2022,1/6/2022 4:22,57702377,653577,832118,2047,0,0,56870259,651530,0.0144
,,,,,,,,,,
1/6/2022,1/7/2022 4:22,58487665,785288,833987,1869,0,0,57653678,783419,0.0143
,,,,,,,,,,
1/7/2022,1/8/2022 4:21,59388529,900864,836603,2616,0,0,58551926,898248,0.0141
,,,,,,,,,,
1/8/2022,1/9/2022 4:21,59767221,378692,837262,659,0,0,58929959,378033,0.014
,,,,,,,,,,
1/9/2022,1/10/2022 4:22,60072321,305100,837594,332,0,0,59234727,304768,0.0139
,,,,,,,,,,
1/10/2022,1/11/2022 4:22,61558085,1485764,839500,1906,0,0,60718585,1483858,0.0136
,,,,,,,,,,
1/11/2022,1/12/2022 4:21,62308132,750047,842141,2641,0,0,61465991,747406,0.0135
,,,,,,,,,,
1/12/2022,1/13/2022 8:00,63203443,895311,844562,2421,0,0,62358881,892890,0.0134
,,,,,,,,,,
1/13/2022,1/14/2022 4:21,64061989,858546,846463,1901,0,0,63215526,856645,0.0132
,,,,,,,,,,
1/14/2022,1/15/2022 4:21,64917692,855703,849238,2775,0,0,64068454,852928,0.0131
,,,,,,,,,,
1/15/2022,1/16/2022 4:21,65444262,526570,850060,822,0,0,64594202,525748,0.013
,,,,,,,,,,
1/16/2022,1/17/2022 4:21,65699947,255685,850605,545,0,0,64849342,255140,0.0129
,,,,,,,,,,
1/17/2022,1/18/2022 4:21,66421598,721651,851730,1125,0,0,65569868,720526,0.0128
,,,,,,,,,,
1/18/2022,1/19/2022 4:21,67589830,1168232,853955,2225,0,0,66735875,1166007,0.0126
,,,,,,,,,,
1/19/2022,1/20/2022 4:21,68569600,979770,857768,3813,0,0,67711832,975957,0.0125
,,,,,,,,,,
1/20/2022,1/21/2022 4:21,69308071,738471,860247,2479,0,0,68447824,735992,0.0124
,,,,,,,,,,
1/21/2022,1/22/2022 4:21,70209737,901666,864553,4306,0,0,69345184,897360,0.0123
,,,,,,,,,,
1/22/2022,1/23/2022 4:21,70494744,285007,865968,1415,0,0,69628776,283592,0.0123
,,,,,,,,,,
1/23/2022,1/24/2022 4:21,70699416,204672,866540,572,0,0,69832876,204100,0.0123
,,,,,,,,,,
1/24/2022,1/25/2022 4:21,71708189,1008773,868503,1963,0,0,70839686,1006810,0.0121
,,,,,,,,,,
1/25/2022,1/26/2022 4:21,72171208,463019,871937,3434,0,0,71299271,459585,0.0121
,,,,,,,,,,
1/26/2022,1/27/2022 4:21,72909527,738319,876060,4123,0,0,72033467,734196,0.012
,,,,,,,,,,
1/27/2022,1/28/2022 4:21,73427335,517808,878421,2361,0,0,72548914,515447,0.012
,,,,,,,,,,
1/28/2022,1/29/2022 4:21,74066546,639211,882294,3873,0,0,73184252,635338,0.0119
,,,,,,,,,,
1/29/2022,1/30/2022 4:21,74235709,169163,883934,1640,0,0,73351775,167523,0.0119
